id|location|neighborhood|net_aff_units|net_units
1038|(37.7456030202, -122.439232)|Noe Valley|0|1
1039|(37.7179305658, -122.390406)|Bayview|0|1
1040|-|Bayview|0|2
1041|(37.7728327110, -122.489252)|Outer Richmond|0|1
1042|(37.7917833809, -122.408915)|Chinatown|0|44
1043|(37.7870169285, -122.416171)|Downtown/Civic Center|0|4
1044|(37.7653561334, -122.399048)|Potrero Hill|25|127
1045|(37.7178867133, -122.394730)|Bayview|0|1
1046|(37.7468680160, -122.406528)|Bernal Heights|0|1
1047|-|Russian Hill|0|5
1048|(37.7624609642, -122.442874)|Castro/Upper Market|0|1
1049|(37.7607662664, -122.389985)|Potrero Hill|0|110
1050|(37.7593611945, -122.449717)|Haight Ashbury|0|1
1051|(37.7574514619, -122.399615)|Potrero Hill|0|1
1052|(37.7549105401, -122.431871)|Noe Valley|0|1
1053|(37.7583534723, -122.401259)|Potrero Hill|0|2
1054|(37.7436339631, -122.406818)|Bernal Heights|0|1
1055|INNER CLEMENT STREET NEIGHBORHOOD COMMERCIAL|-|1|CLINICS-MEDIC/DENTAL
1056|(37.7602272112, -122.389154)|Potrero Hill|6|39
1057|(37.7164639959, -122.440659)|Excelsior|0|4
1058|(37.7387730917, -122.413614)|Bernal Heights|0|2
1059|(37.7973575218, -122.412499)|Russian Hill|0|5
1060|MIXED USE-RESIDENTIAL|Soma|60|172
1061|(37.7569589130, -122.400191)|Potrero Hill|0|2
1062|DVU|Soma|5|44
1063|(37.7784175107, -122.445572)|Western Addition|0|1
1064|(37.7143552485, -122.433589)|Excelsior|0|1
1065|MIXED USE-RESIDENTIAL|Soma|14|115
1066|(37.7580993273, -122.402590)|Potrero Hill|0|2
1067|(37.7154270215, -122.436720)|Excelsior|0|1
1068|(37.7499418175, -122.435848)|Noe Valley|0|1
1069|(37.7580323995, -122.402583)|Potrero Hill|0|2
1070|(37.7530323558, -122.415541)|Mission|0|2
1071|(37.7579639393, -122.402577)|Potrero Hill|0|2
1072|(37.7290311585, -122.416867)|Excelsior|0|1
1073|(37.7849297526, -122.421911)|Western Addition|31|256
1074|(37.7578954800, -122.402570)|Potrero Hill|0|2
1075|(37.7450853172, -122.477617)|Parkside|0|1
1076|(37.7578270198, -122.402563)|Potrero Hill|0|1
1077|(37.7569359330, -122.408306)|Mission|0|1
1078|(37.7323059954, -122.376838)|Bayview|0|1
1079|-|Soma|0|6
1080|(37.7116829221, -122.405617)|Visitacion Valley|0|5
1081|(37.7342543999, -122.441333)|Outer Mission|0|3
1082|(37.7822225670, -122.423766)|Downtown/Civic Center|11|95
1083|(37.7831754330, -122.409568)|Downtown/Civic Center|0|316
1084|(37.7597476917, -122.389882)|Potrero Hill|0|108
1085|(37.7550997472, -122.413030)|Mission|0|4
1086|(37.7565224011, -122.411055)|Mission|0|1
1087|(37.7415083856, -122.410350)|Bernal Heights|0|4
1088|(37.7731313749, -122.435174)|Western Addition|0|1
1089|(37.7103661215, -122.408721)|Visitacion Valley|0|1
1090|(37.7156611987, -122.440113)|Crocker Amazon|0|3
1091|AHUISMAN|Soma|0|182
1092|(37.7555306037, -122.423563)|Mission|0|1
1093|(37.7655618070, -122.394221)|Potrero Hill|0|45
1094|MIXED USE-RESIDENTIAL|Soma|4|38
1095|(37.7536707585, -122.424917)|Mission|0|1
1096|(37.7861870864, -122.419486)|Downtown/Civic Center|0|4
1097|(37.7553637880, -122.423547)|Mission|0|1
1098|(37.7373159491, -122.409400)|Bernal Heights|8|50
1099|-|Bayview|0|91
1100|(37.7558204802, -122.395144)|Potrero Hill|0|994
1101|(37.7130874301, -122.418990)|Visitacion Valley|915|915
1102|(37.7750508786, -122.390643)|Soma|0|152
1103|(37.7750508786, -122.390643)|Soma|0|198
1104|(37.7714570163, -122.390858)|Soma|0|200
1105|KGUY|Financial District|0|153
1106|(37.7109310022, -122.460240)|Ocean View|17|17
1107|(37.7757037635, -122.386135)|Soma|0|1500
1108|-|Financial District|141|390
1109|-|Financial District|0|545
1110|RESIDENTIAL- HOUSE, THREE FAMILY|Tom Hardy|1|-
1111|(37.7784409353, -122.413479)|Soma|74|501
1112|-|Soma|0|767
1113|(37.7828259203, -122.412155)|Downtown/Civic Center|4|37
1114|(37.7688995361, -122.437764)|Castro/Upper Market|0|1
1115|(37.7779257679, -122.413013)|Soma|83|550
1116|-|Financial District|85|85
1117|DOWNTOWN- RETAIL|Financial District|0|185
1118|(37.7116529684, -122.402222)|Visitacion Valley|168|1679
1119|(37.7589409885, -122.460782)|Inner Sunset|0|34
1120|(37.7597541361, -122.386994)|Potrero Hill|0|1100
1121|(37.8242837711, -122.370952)|Treasure Island/YBI|1800|7800
1122|(37.7736583179, -122.423699)|Western Addition|0|26
1123|(37.7753559271, -122.425374)|Western Addition|112|112
1124|KGUY|Financial District|0|112
1125|(37.7298349401, -122.370839)|Bayview|0|169
1126|(37.7298349401, -122.370839)|Bayview|0|117
1127|(37.7298349401, -122.370839)|Bayview|0|463
1128|DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)|Financial District|0|127
1129|(37.7716971210, -122.426147)|Western Addition|160|64
1130|(37.7219785978, -122.392538)|Bayview|0|1
1131|DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)|Financial District|50|334
1132|(37.7768070769, -122.414523)|Soma|0|312
1133|(37.7787104203, -122.493982)|Outer Richmond|0|1
1134|(37.7631762628, -122.436456)|Castro/Upper Market|0|1
1135|-|Bayview|0|55
1136|(37.7853672062, -122.393359)|Soma|25|179
1137|SMENDRIN|Bayview|0|591
1138|MIXED USE-RESIDENTIAL|Soma|2|15
1139|(37.7842982031, -122.415004)|Downtown/Civic Center|0|28
1140|(37.8017630001, -122.423730)|Russian Hill|0|16
1141|(37.7193826402, -122.384934)|Bayview|0|10244
1142|(37.7205047819, -122.483875)|Lakeshore|284|4666
1143|-|Bayview|0|980
1144|(37.7152862737, -122.475836)|Lakeshore|0|99
1145|(37.7440929892, -122.437331)|Noe Valley|0|3
